snomed_code,icd10_code,icd10_description
298551000119105,M87.165,"Osteonecrosis due to drugs, left fibula"
68421004,M89.129,"Physeal arrest, humerus, unspecified"
128137003,M89.164,"Complete physeal arrest, right distal tibia"
203517001,M89.164,"Complete physeal arrest, right distal tibia"
371521007,M89.252,"Other disorders of bone development and growth, left femur"
203514008,M89.331,"Hypertrophy of bone, right ulna"
203357004,M89.411,"Other hypertrophic osteoarthropathy, right shoulder"
203357004,M89.429,"Other hypertrophic osteoarthropathy, unspecified upper arm"
203522001,M89.521,"Osteolysis, right upper arm"
203522001,M89.549,"Osteolysis, unspecified hand"
203522001,M89.562,"Osteolysis, left lower leg"
203291003,M89.661,"Osteopathy after poliomyelitis, right lower leg"
76069003,M89.721,"Major osseous defect, right humerus"
76069003,M89.749,"Major osseous defect, unspecified hand"
118933004,M89.749,"Major osseous defect, unspecified hand"
128137003,M89.762,"Major osseous defect, left lower leg"
76069003,M89.762,"Major osseous defect, left lower leg"
128137003,M89.769,"Major osseous defect, unspecified lower leg"
76069003,M89.769,"Major osseous defect, unspecified lower leg"
76069003,M89.771,"Major osseous defect, right ankle and foot"
203356008,M90.622,"Osteitis deformans in neoplastic diseases, left upper arm"
76069003,M90.841,"Osteopathy in diseases classified elsewhere, right hand"
118933004,M90.841,"Osteopathy in diseases classified elsewhere, right hand"
128137003,M90.861,"Osteopathy in diseases classified elsewhere, right lower leg"
76069003,M90.861,"Osteopathy in diseases classified elsewhere, right lower leg"
128137003,M90.862,"Osteopathy in diseases classified elsewhere, left lower leg"
76069003,M90.862,"Osteopathy in diseases classified elsewhere, left lower leg"
240241003,M91.22,"Coxa plana, left hip"
62100001,M92.00,"Juvenile osteochondrosis of humerus, unspecified arm"
62100001,M92.10,"Juvenile osteochondrosis of radius and ulna, unspecified arm"
62100001,M92.11,"Juvenile osteochondrosis of radius and ulna, right arm"
89807005,M92.221,"Osteochondrosis (juvenile) of metacarpal heads [Mauclaire], right hand"
31249007,M92.291,"Other juvenile osteochondrosis, right hand"
354223006,M92.52,Juvenile osteochondrosis of tibia tubercle
203375003,M93.032,"Acute on chronic slipped upper femoral epiphysis, stable (nontraumatic), left hip"
202138005,M94.8X7,"Other specified disorders of cartilage, ankle and foot"
66308002,M96.622,"Fracture of humerus following insertion of orthopedic implant, joint prosthesis, or bone plate, left arm"
242995009,M96.821,Accidental puncture and laceration of a musculoskeletal structure during other procedure
928000,M96.821,Accidental puncture and laceration of a musculoskeletal structure during other procedure
63198006,M94.221,"Chondromalacia, right elbow"
312792007,M99.24,Subluxation stenosis of neural canal of sacral region
203711003,M99.34,Osseous stenosis of neural canal of sacral region
203711003,M99.37,Osseous stenosis of neural canal of upper extremity
203712005,M99.42,Connective tissue stenosis of neural canal of thoracic region
203712005,M99.47,Connective tissue stenosis of neural canal of upper extremity
928000,M99.84,Other biomechanical lesions of sacral region
69758005,N13.732,"Vesicoureteral-reflux with reflux nephropathy with hydroureter, bilateral"
197811007,N13.732,"Vesicoureteral-reflux with reflux nephropathy with hydroureter, bilateral"
32916005,N26.9,"Renal sclerosis, unspecified"
88531004,N28.81,Hypertrophy of kidney
443820000,N28.89,Other specified disorders of kidney and ureter
38822007,N30.80,Other cystitis without hematuria
367851000119103,N35.113,"Postinfective membranous urethral stricture, not elsewhere classified, male"
16031000119101,N36.42,Intrinsic sphincter deficiency (ISD)
61500009,N41.4,Granulomatous prostatitis
427670006,N46.021,Azoospermia due to drug therapy
71349004,N46.11,Organic oligospermia
71349004,N46.124,Oligospermia due to radiation
71349004,N46.125,Oligospermia due to systemic disease
50112006,N53.14,Retrograde ejaculation
16486000,N70.02,Acute oophoritis
63597007,N99.538,Other complication of continent stoma of urinary tract
198647008,O03.32,Renal failure following incomplete spontaneous abortion
1469007,O03.88,Urinary tract infection following complete or unspecified spontaneous abortion
609452007,O04.82,Renal failure following (induced) termination of pregnancy
29421008,O07.32,Renal failure following failed attempted termination of pregnancy
47200007,O09.01,"Supervision of pregnancy with history of infertility, first trimester"
57630001,O09.01,"Supervision of pregnancy with history of infertility, first trimester"
717794008,O09.01,"Supervision of pregnancy with history of infertility, first trimester"
47200007,O09.02,"Supervision of pregnancy with history of infertility, second trimester"
59466002,O09.02,"Supervision of pregnancy with history of infertility, second trimester"
717794008,O09.02,"Supervision of pregnancy with history of infertility, second trimester"
702738006,O09.12,"Supervision of pregnancy with history of ectopic pregnancy, second trimester"
29399001,O09.519,"Supervision of elderly primigravida, unspecified trimester"
47200007,O09.519,"Supervision of elderly primigravida, unspecified trimester"
702738006,O09.519,"Supervision of elderly primigravida, unspecified trimester"
47200007,O09.623,"Supervision of young multigravida, third trimester"
41587001,O09.623,"Supervision of young multigravida, third trimester"
702743004,O09.623,"Supervision of young multigravida, third trimester"
702738006,O09.823,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, third trimester"
702738006,O09.829,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, unspecified trimester"
47200007,O09.891,"Supervision of other high risk pregnancies, first trimester"
57630001,O09.891,"Supervision of other high risk pregnancies, first trimester"
702738006,O09.891,"Supervision of other high risk pregnancies, first trimester"
199006004,O10.13,Pre-existing hypertensive heart disease complicating the puerperium
41587001,O10.313,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, third trimester"
10757481000119107,O10.313,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, third trimester"
10757401000119104,O10.32,Pre-existing hypertensive heart and chronic kidney disease complicating childbirth
57630001,O10.411,"Pre-existing secondary hypertension complicating pregnancy, first trimester"
82771000119102,O10.411,"Pre-existing secondary hypertension complicating pregnancy, first trimester"
398254007,O14.93,"Unspecified pre-eclampsia, third trimester"
41587001,O14.93,"Unspecified pre-eclampsia, third trimester"
308136002,O22.20,"Superficial thrombophlebitis in pregnancy, unspecified trimester"
308140006,O22.43,"Hemorrhoids in pregnancy, third trimester"
41587001,O22.43,"Hemorrhoids in pregnancy, third trimester"
199110003,O23.03,"Infections of kidney in pregnancy, third trimester"
41587001,O23.03,"Infections of kidney in pregnancy, third trimester"
57630001,O23.11,"Infections of bladder in pregnancy, first trimester"
199206009,O23.20,"Infections of urethra in pregnancy, unspecified trimester"
307534009,O23.20,"Infections of urethra in pregnancy, unspecified trimester"
199112006,O23.599,"Infection of other part of genital tract in pregnancy, unspecified trimester"
267204006,O23.90,"Unspecified genitourinary tract infection in pregnancy, unspecified trimester"
173300003,O23.90,"Unspecified genitourinary tract infection in pregnancy, unspecified trimester"
267204006,O23.92,"Unspecified genitourinary tract infection in pregnancy, second trimester"
59466002,O23.92,"Unspecified genitourinary tract infection in pregnancy, second trimester"
59466002,O24.312,"Unspecified pre-existing diabetes mellitus in pregnancy, second trimester"
609563008,O24.312,"Unspecified pre-existing diabetes mellitus in pregnancy, second trimester"
11687002,O24.419,"Gestational diabetes mellitus in pregnancy, unspecified control"
53024001,O26.10,"Low weight gain in pregnancy, unspecified trimester"
243826008,O26.23,"Pregnancy care for patient with recurrent pregnancy loss, third trimester"
41587001,O26.23,"Pregnancy care for patient with recurrent pregnancy loss, third trimester"
134781000119106,O26.23,"Pregnancy care for patient with recurrent pregnancy loss, third trimester"
173300003,O26.63,Liver and biliary tract disorders in the puerperium
80113008,O26.63,Liver and biliary tract disorders in the puerperium
199294004,O26.63,Liver and biliary tract disorders in the puerperium
17787002,O26.823,"Pregnancy related peripheral neuritis, third trimester"
41587001,O26.823,"Pregnancy related peripheral neuritis, third trimester"
19829001,O29.092,"Other pulmonary complications of anesthesia during pregnancy, second trimester"
33211000,O29.092,"Other pulmonary complications of anesthesia during pregnancy, second trimester"
59466002,O29.092,"Other pulmonary complications of anesthesia during pregnancy, second trimester"
41337007,O30.022,"Conjoined twin pregnancy, second trimester"
59466002,O30.022,"Conjoined twin pregnancy, second trimester"
106009009,O30.029,"Conjoined twin pregnancy, unspecified trimester"
41337007,O30.029,"Conjoined twin pregnancy, unspecified trimester"
65147003,O30.091,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester"
57630001,O30.091,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester"
64254006,O30.193,"Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, third trimester"
41587001,O30.193,"Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, third trimester"
60810003,O30.201,"Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
57630001,O30.201,"Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
16356006,O30.891,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs, first trimester"
57630001,O30.891,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs, first trimester"
16356006,O30.91,"Multiple gestation, unspecified, first trimester"
57630001,O30.91,"Multiple gestation, unspecified, first trimester"
90127001,O31.01X1,"Papyraceous fetus, first trimester, fetus 1"
57630001,O31.01X1,"Papyraceous fetus, first trimester, fetus 1"
90127001,O31.02X5,"Papyraceous fetus, second trimester, fetus 5"
59466002,O31.02X5,"Papyraceous fetus, second trimester, fetus 5"
90127001,O31.03X5,"Papyraceous fetus, third trimester, fetus 5"
41587001,O31.03X5,"Papyraceous fetus, third trimester, fetus 5"
199306007,O31.11X3,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 3"
57630001,O31.11X3,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 3"
199306007,O31.12X0,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, not applicable or unspecified"
59466002,O31.12X0,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, not applicable or unspecified"
199306007,O31.13X0,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, not applicable or unspecified"
41587001,O31.13X0,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, not applicable or unspecified"
199307003,O31.20X1,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 1"
199307003,O31.21X3,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 3"
57630001,O31.21X3,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 3"
199307003,O31.21X5,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 5"
57630001,O31.21X5,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 5"
199306007,O31.31X4,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, fetus 4"
57630001,O31.31X4,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, fetus 4"
199306007,O31.31X9,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, other fetus"
57630001,O31.31X9,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, other fetus"
424525001,O32.0XX1,"Maternal care for unstable lie, fetus 1"
424525001,O32.0XX5,"Maternal care for unstable lie, fetus 5"
424525001,O32.2XX2,"Maternal care for transverse and oblique lie, fetus 2"
424525001,O32.4XX3,"Maternal care for high head at term, fetus 3"
106009009,O32.6XX0,"Maternal care for compound presentation, not applicable or unspecified"
124736009,O32.6XX0,"Maternal care for compound presentation, not applicable or unspecified"
424525001,O33.3XX4,"Maternal care for disproportion due to outlet contraction of pelvis, fetus 4"
424525001,O33.4XX1,"Maternal care for disproportion of mixed maternal and fetal origin, fetus 1"
424525001,O33.4XX3,"Maternal care for disproportion of mixed maternal and fetal origin, fetus 3"
424525001,O33.6XX5,"Maternal care for disproportion due to hydrocephalic fetus, fetus 5"
267212003,O34.01,"Maternal care for unspecified congenital malformation of uterus, first trimester"
57630001,O34.01,"Maternal care for unspecified congenital malformation of uterus, first trimester"
1639007,O34.42,"Maternal care for other abnormalities of cervix, second trimester"
63339007,O34.42,"Maternal care for other abnormalities of cervix, second trimester"
59466002,O34.42,"Maternal care for other abnormalities of cervix, second trimester"
1639007,O34.72,"Maternal care for abnormality of vulva and perineum, second trimester"
59466002,O34.72,"Maternal care for abnormality of vulva and perineum, second trimester"
407624006,O35.0XX9,"Maternal care for (suspected) central nervous system malformation in fetus, other fetus"
10743881000119104,O35.0XX9,"Maternal care for (suspected) central nervous system malformation in fetus, other fetus"
609415007,O35.0XX9,"Maternal care for (suspected) central nervous system malformation in fetus, other fetus"
10743881000119104,O35.8XX9,"Maternal care for other (suspected) fetal abnormality and damage, other fetus"
609415007,O35.8XX9,"Maternal care for other (suspected) fetal abnormality and damage, other fetus"
10743881000119104,O35.9XX3,"Maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 3"
609415007,O35.9XX3,"Maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 3"
10743881000119104,O35.9XX9,"Maternal care for (suspected) fetal abnormality and damage, unspecified, other fetus"
609415007,O35.9XX9,"Maternal care for (suspected) fetal abnormality and damage, unspecified, other fetus"
57630001,O36.0111,"Maternal care for anti-D [Rh] antibodies, first trimester, fetus 1"
699950009,O36.0111,"Maternal care for anti-D [Rh] antibodies, first trimester, fetus 1"
699950009,O36.0194,"Maternal care for anti-D [Rh] antibodies, unspecified trimester, fetus 4"
699950009,O36.0195,"Maternal care for anti-D [Rh] antibodies, unspecified trimester, fetus 5"
44795003,O36.0932,"Maternal care for other rhesus isoimmunization, third trimester, fetus 2"
41587001,O36.0932,"Maternal care for other rhesus isoimmunization, third trimester, fetus 2"
44795003,O36.0999,"Maternal care for other rhesus isoimmunization, unspecified trimester, other fetus"
41587001,O36.1133,"Maternal care for Anti-A sensitization, third trimester, fetus 3"
10835971000119109,O36.1133,"Maternal care for Anti-A sensitization, third trimester, fetus 3"
237300009,O36.1933,"Maternal care for other isoimmunization, third trimester, fetus 3"
41587001,O36.1933,"Maternal care for other isoimmunization, third trimester, fetus 3"
106009009,O36.20X5,"Maternal care for hydrops fetalis, unspecified trimester, fetus 5"
276508000,O36.20X5,"Maternal care for hydrops fetalis, unspecified trimester, fetus 5"
106009009,O36.21X5,"Maternal care for hydrops fetalis, first trimester, fetus 5"
276508000,O36.21X5,"Maternal care for hydrops fetalis, first trimester, fetus 5"
57630001,O36.21X5,"Maternal care for hydrops fetalis, first trimester, fetus 5"
106009009,O36.22X1,"Maternal care for hydrops fetalis, second trimester, fetus 1"
276508000,O36.22X1,"Maternal care for hydrops fetalis, second trimester, fetus 1"
59466002,O36.22X1,"Maternal care for hydrops fetalis, second trimester, fetus 1"
106009009,O36.22X3,"Maternal care for hydrops fetalis, second trimester, fetus 3"
276508000,O36.22X3,"Maternal care for hydrops fetalis, second trimester, fetus 3"
59466002,O36.22X3,"Maternal care for hydrops fetalis, second trimester, fetus 3"
14022007,O36.4XX3,"Maternal care for intrauterine death, fetus 3"
237292005,O36.5112,"Maternal care for known or suspected placental insufficiency, first trimester, fetus 2"
57630001,O36.5112,"Maternal care for known or suspected placental insufficiency, first trimester, fetus 2"
397949005,O36.5933,"Maternal care for other known or suspected poor fetal growth, third trimester, fetus 3"
41587001,O36.5933,"Maternal care for other known or suspected poor fetal growth, third trimester, fetus 3"
397949005,O36.5992,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 2"
22173004,O36.61X0,"Maternal care for excessive fetal growth, first trimester, not applicable or unspecified"
57630001,O36.61X0,"Maternal care for excessive fetal growth, first trimester, not applicable or unspecified"
106009009,O36.70X0,"Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, not applicable or unspecified"
237253003,O36.70X0,"Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, not applicable or unspecified"
106009009,O36.71X2,"Maternal care for viable fetus in abdominal pregnancy, first trimester, fetus 2"
237253003,O36.71X2,"Maternal care for viable fetus in abdominal pregnancy, first trimester, fetus 2"
57630001,O36.71X2,"Maternal care for viable fetus in abdominal pregnancy, first trimester, fetus 2"
276369006,O36.8131,"Decreased fetal movements, third trimester, fetus 1"
41587001,O36.8131,"Decreased fetal movements, third trimester, fetus 1"
414022008,O36.8222,"Fetal anemia and thrombocytopenia, second trimester, fetus 2"
59466002,O36.8222,"Fetal anemia and thrombocytopenia, second trimester, fetus 2"
70591005,O36.8222,"Fetal anemia and thrombocytopenia, second trimester, fetus 2"
106009009,O36.8291,"Fetal anemia and thrombocytopenia, unspecified trimester, fetus 1"
414022008,O36.8291,"Fetal anemia and thrombocytopenia, unspecified trimester, fetus 1"
70591005,O36.8291,"Fetal anemia and thrombocytopenia, unspecified trimester, fetus 1"
106009009,O36.8932,"Maternal care for other specified fetal problems, third trimester, fetus 2"
41587001,O36.8932,"Maternal care for other specified fetal problems, third trimester, fetus 2"
106009009,O36.90X1,"Maternal care for fetal problem, unspecified, unspecified trimester, fetus 1"
70591005,O36.90X1,"Maternal care for fetal problem, unspecified, unspecified trimester, fetus 1"
106009009,O36.90X9,"Maternal care for fetal problem, unspecified, unspecified trimester, other fetus"
70591005,O36.90X9,"Maternal care for fetal problem, unspecified, unspecified trimester, other fetus"
106009009,O36.91X2,"Maternal care for fetal problem, unspecified, first trimester, fetus 2"
57630001,O36.91X2,"Maternal care for fetal problem, unspecified, first trimester, fetus 2"
70591005,O36.91X2,"Maternal care for fetal problem, unspecified, first trimester, fetus 2"
106009009,O36.91X5,"Maternal care for fetal problem, unspecified, first trimester, fetus 5"
57630001,O36.91X5,"Maternal care for fetal problem, unspecified, first trimester, fetus 5"
70591005,O36.91X5,"Maternal care for fetal problem, unspecified, first trimester, fetus 5"
106009009,O36.93X3,"Maternal care for fetal problem, unspecified, third trimester, fetus 3"
41587001,O36.93X3,"Maternal care for fetal problem, unspecified, third trimester, fetus 3"
70591005,O36.93X3,"Maternal care for fetal problem, unspecified, third trimester, fetus 3"
86203003,O40.2XX3,"Polyhydramnios, second trimester, fetus 3"
59466002,O40.2XX3,"Polyhydramnios, second trimester, fetus 3"
86203003,O40.3XX4,"Polyhydramnios, third trimester, fetus 4"
41587001,O40.3XX4,"Polyhydramnios, third trimester, fetus 4"
86203003,O40.9XX9,"Polyhydramnios, unspecified trimester, other fetus"
59566000,O41.00X1,"Oligohydramnios, unspecified trimester, fetus 1"
59566000,O41.01X9,"Oligohydramnios, first trimester, other fetus"
57630001,O41.01X9,"Oligohydramnios, first trimester, other fetus"
10573002,O41.1019,"Infection of amniotic sac and membranes, unspecified, first trimester, other fetus"
57630001,O41.1019,"Infection of amniotic sac and membranes, unspecified, first trimester, other fetus"
11612004,O41.1220,"Chorioamnionitis, second trimester, not applicable or unspecified"
59466002,O41.1220,"Chorioamnionitis, second trimester, not applicable or unspecified"
39249009,O41.1415,"Placentitis, first trimester, fetus 5"
57630001,O41.1415,"Placentitis, first trimester, fetus 5"
39249009,O41.1495,"Placentitis, unspecified trimester, fetus 5"
72860003,O41.8X20,"Other specified disorders of amniotic fluid and membranes, second trimester, not applicable or unspecified"
59466002,O41.8X20,"Other specified disorders of amniotic fluid and membranes, second trimester, not applicable or unspecified"
72860003,O41.91X0,"Disorder of amniotic fluid and membranes, unspecified, first trimester, not applicable or unspecified"
57630001,O41.91X0,"Disorder of amniotic fluid and membranes, unspecified, first trimester, not applicable or unspecified"
72860003,O41.92X0,"Disorder of amniotic fluid and membranes, unspecified, second trimester, not applicable or unspecified"
59466002,O41.92X0,"Disorder of amniotic fluid and membranes, unspecified, second trimester, not applicable or unspecified"
72860003,O41.93X2,"Disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 2"
41587001,O41.93X2,"Disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 2"
41587001,O42.113,"Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, third trimester"
10759611000119105,O42.113,"Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, third trimester"
10759661000119108,O42.919,"Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, unspecified trimester"
71028008,O43.012,"Fetomaternal placental transfusion syndrome, second trimester"
59466002,O43.012,"Fetomaternal placental transfusion syndrome, second trimester"
71028008,O43.013,"Fetomaternal placental transfusion syndrome, third trimester"
41587001,O43.013,"Fetomaternal placental transfusion syndrome, third trimester"
2437000,O43.112,"Circumvallate placenta, second trimester"
59466002,O43.112,"Circumvallate placenta, second trimester"
11763009,O43.223,"Placenta increta, third trimester"
41587001,O43.223,"Placenta increta, third trimester"
125586008,O43.893,"Other placental disorders, third trimester"
41587001,O43.893,"Other placental disorders, third trimester"
415105001,O45.8X9,"Other premature separation of placenta, unspecified trimester"
267199000,O46.001,"Antepartum hemorrhage with coagulation defect, unspecified, first trimester"
57630001,O46.001,"Antepartum hemorrhage with coagulation defect, unspecified, first trimester"
237272003,O46.019,"Antepartum hemorrhage with afibrinogenemia, unspecified trimester"
59466002,O60.22X5,"Term delivery with preterm labor, second trimester, fetus 5"
698717006,O60.22X5,"Term delivery with preterm labor, second trimester, fetus 5"
199751005,O64.1XX4,"Obstructed labor due to breech presentation, fetus 4"
199752003,O64.2XX0,"Obstructed labor due to face presentation, not applicable or unspecified"
199753008,O64.3XX1,"Obstructed labor due to brow presentation, fetus 1"
199754002,O64.4XX5,"Obstructed labor due to shoulder presentation, fetus 5"
199747008,O64.8XX3,"Obstructed labor due to other malposition and malpresentation, fetus 3"
49561003,O71.03,"Rupture of uterus before onset of labor, third trimester"
41587001,O71.03,"Rupture of uterus before onset of labor, third trimester"
15400003,O88.013,"Air embolism in pregnancy, third trimester"
41587001,O88.013,"Air embolism in pregnancy, third trimester"
59466002,O88.312,"Pyemic and septic embolism in pregnancy, second trimester"
10760131000119108,O88.312,"Pyemic and septic embolism in pregnancy, second trimester"
41587001,O88.313,"Pyemic and septic embolism in pregnancy, third trimester"
10760131000119108,O88.313,"Pyemic and septic embolism in pregnancy, third trimester"
267317007,O98.013,"Tuberculosis complicating pregnancy, third trimester"
41587001,O98.013,"Tuberculosis complicating pregnancy, third trimester"
721166000,O98.7,"Human immunodeficiency virus [HIV] disease complicating pregnancy, childbirth and the puerperium"
40609001,O98.812,"Other maternal infectious and parasitic diseases complicating pregnancy, second trimester"
59466002,O98.812,"Other maternal infectious and parasitic diseases complicating pregnancy, second trimester"
199297006,O99.352,"Diseases of the nervous system complicating pregnancy, second trimester"
59466002,O99.352,"Diseases of the nervous system complicating pregnancy, second trimester"
199295003,O99.711,"Diseases of the skin and subcutaneous tissue complicating pregnancy, first trimester"
57630001,O99.711,"Diseases of the skin and subcutaneous tissue complicating pregnancy, first trimester"
66598005,O99.834,Other infection carrier state complicating childbirth
32801000119106,O99.834,Other infection carrier state complicating childbirth
276611006,P05.05,"Newborn light for gestational age, 1250-1499 grams"
413341007,P29.12,Neonatal bradycardia
47507006,Q13.81,Rieger anomaly
10835661000119109,Q51.11,Doubling of uterus with doubling of cervix and vagina with obstruction
87093008,Q64.73,Congenital urethrorectal fistula
48334007,Q65.31,"Congenital partial dislocation of right hip, unilateral"
78018008,Q71.12,Congenital absence of left upper arm and forearm with hand present
449682004,Q71.23,"Congenital absence of both forearm and hand, bilateral"
371197005,Q72.31,Congenital absence of right foot and toe(s)
371197005,Q72.33,"Congenital absence of foot and toe(s), bilateral"
52837007,Q72.42,Longitudinal reduction defect of left femur
66078008,Q72.812,Congenital shortening of left lower limb
77595004,Q72.93,"Unspecified reduction defect of lower limb, bilateral"
471282000,Q93.88,Other microdeletions
414822009,R04.81,Acute idiopathic pulmonary hemorrhage in infants
362965005,R09.89,Other specified symptoms and signs involving the circulatory and respiratory systems
79922009,R10.13,Epigastric pain
102614006,R10.84,Generalized abdominal pain
8579004,R11.12,Projectile vomiting
18101008,R19.12,Hyperactive bowel sounds
106028002,R29.91,Unspecified symptoms and signs involving the musculoskeletal system
129847007,R39.81,Functional urinary incontinence
271721006,R48.9,Unspecified symbolic dysfunctions
91175000,R56.9,Unspecified convulsions
444951002,R68.12,Fussy infant (baby)
414025005,R68.19,Other nonspecific symptoms peculiar to infancy
417186004,R71.0,Precipitous drop in hematocrit
32482005,R80.2,"Orthostatic proteinuria, unspecified"
125157000,R87.616,Satisfactory cervical smear but lacking transformation zone
250724005,R97.8,Other abnormal tumor markers
210989006,S00.01,Abrasion of scalp
211010006,S00.06XD,"Insect bite (nonvenomous) of scalp, subsequent encounter"
417654008,S00.12XD,"Contusion of left eyelid and periocular area, subsequent encounter"
111727008,S00.211S,"Abrasion of right eyelid and periocular area, sequela"
111727008,S00.221S,"Blister (nonthermal) of right eyelid and periocular area, sequela"
111727008,S00.269S,"Insect bite (nonvenomous) of unspecified eyelid and periocular area, sequela"
269211001,S00.271D,"Other superficial bite of right eyelid and periocular area, subsequent encounter"
283027004,S00.30XA,"Unspecified superficial injury of nose, initial encounter"
283326002,S00.37XD,"Other superficial bite of nose, subsequent encounter"
283118003,S00.429A,"Blister (nonthermal) of unspecified ear, initial encounter"
111727008,S00.452S,"Superficial foreign body of left ear, sequela"
283325003,S00.469A,"Insect bite (nonvenomous) of unspecified ear, initial encounter"
283026008,S00.471A,"Other superficial bite of right ear, initial encounter"
283682007,S00.471A,"Other superficial bite of right ear, initial encounter"
110151001,S00.501D,"Unspecified superficial injury of lip, subsequent encounter"
110151001,S00.542D,"External constriction of oral cavity, subsequent encounter"
283328001,S00.562D,"Insect bite (nonvenomous) of oral cavity, subsequent encounter"
33931005,S00.571D,"Other superficial bite of lip, subsequent encounter"
312655004,S00.571D,"Other superficial bite of lip, subsequent encounter"
111727008,S00.572S,"Other superficial bite of oral cavity, sequela"
283025007,S00.80XA,"Unspecified superficial injury of other part of head, initial encounter"
283025007,S00.80XD,"Unspecified superficial injury of other part of head, subsequent encounter"
210953003,S00.84XS,"External constriction of other part of head, sequela"
283322000,S00.87XA,"Other superficial bite of other part of head, initial encounter"
210953003,S00.87XS,"Other superficial bite of other part of head, sequela"
283115000,S00.92XA,"Blister (nonthermal) of unspecified part of head, initial encounter"
735645009,S00.93XA,"Contusion of unspecified part of head, initial encounter"
210323002,S01.00XA,"Unspecified open wound of scalp, initial encounter"
212400009,S01.05XA,"Open bite of scalp, initial encounter"
721316001,S01.05XA,"Open bite of scalp, initial encounter"
14997005,S01.119A,"Laceration without foreign body of unspecified eyelid and periocular area, initial encounter"
210955005,S01.149S,"Puncture wound with foreign body of unspecified eyelid and periocular area, sequela"
210325009,S01.20XA,"Unspecified open wound of nose, initial encounter"
74699008,S01.22XD,"Laceration with foreign body of nose, subsequent encounter"
373602003,S01.22XD,"Laceration with foreign body of nose, subsequent encounter"
210954009,S01.24XS,"Puncture wound with foreign body of nose, sequela"
210954009,S01.321S,"Laceration with foreign body of right ear, sequela"
75441006,S01.341D,"Puncture wound with foreign body of right ear, subsequent encounter"
283504002,S01.341D,"Puncture wound with foreign body of right ear, subsequent encounter"
75441006,S01.349D,"Puncture wound with foreign body of unspecified ear, subsequent encounter"
283504002,S01.349D,"Puncture wound with foreign body of unspecified ear, subsequent encounter"
11386000,S01.351D,"Open bite of right ear, subsequent encounter"
283682007,S01.351D,"Open bite of right ear, subsequent encounter"
210954009,S01.351S,"Open bite of right ear, sequela"
210339009,S01.401D,"Unspecified open wound of right cheek and temporomandibular area, subsequent encounter"
282757006,S01.429A,"Laceration with foreign body of unspecified cheek and temporomandibular area, initial encounter"
431875001,S01.429A,"Laceration with foreign body of unspecified cheek and temporomandibular area, initial encounter"
283506000,S01.439A,"Puncture wound without foreign body of unspecified cheek and temporomandibular area, initial encounter"
210341005,S01.459A,"Open bite of unspecified cheek and temporomandibular area, initial encounter"
283682007,S01.459A,"Open bite of unspecified cheek and temporomandibular area, initial encounter"
210358000,S01.502A,"Unspecified open wound of oral cavity, initial encounter"
283355005,S01.512D,"Laceration without foreign body of oral cavity, subsequent encounter"
210954009,S01.521S,"Laceration with foreign body of lip, sequela"
210954009,S01.541S,"Puncture wound with foreign body of lip, sequela"
14380007,S01.542D,"Puncture wound with foreign body of oral cavity, subsequent encounter"
283507009,S01.542D,"Puncture wound with foreign body of oral cavity, subsequent encounter"
428088000,S01.82XD,"Laceration with foreign body of other part of head, subsequent encounter"
